"","x"
"1",75.0158613112744
"2",75.9820172432607
"3",72.1950430095572
"4",67.6428031870736
"5",65.6197730793656
"6",70.8787876344468
"7",70.4721362335917
"8",70.1203123932073
"9",71.4170496223651
"10",72.0678540194223
"11",70.0496770386617
"12",66.8343862359771
"13",70.6762868162459
"14",68.8854588138996
"15",66.1867808698248
"16",67.4779812094921
"17",69.5913367067764
"18",69.6569048410247
"19",67.1973725416821
"20",70.1052149002295
"21",66.5310440954756
"22",63.9291219369847
"23",63.9522753253898
"24",66.6574061783525
"25",67.5890393588483
"26",67.3036787567445
"27",67.6323521464834
"28",64.0648784974712
"29",63.0543403637602
"30",62.3781576100516
"31",64.7204148119257
"32",66.9988471318282
"33",67.3632583129165
"34",63.9784752537291
"35",62.7552115911786
"36",61.91826300391
"37",60.0478446072059
"38",64.5317415680308
"39",67.0660541997855
"40",67.3628373929037
"41",60.3041235826255
"42",60.8788796306206
"43",61.798911688366
"44",59.7320456580665
"45",64.8737586549678
"46",66.5410210068415
"47",66.4552318361424
"48",59.7709471823353
"49",58.5764047089414
"50",60.2027480821916
"51",58.9660871842903
"52",65.3830150440021
"53",67.5192236624084
"54",65.2118546460202
"55",60.6865430547047
"56",58.8349948815831
"57",58.5447321203144
"58",58.4053468187008
"59",65.1286498245096
